,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
1716, A Class,2019,28800,Automatic,4672,Diesel,145,62.8,1.5,Mercedes
1717, A Class,2019,26990,Automatic,2380,Diesel,145,62.8,1.5,Mercedes
1718, GLC Class,2019,42600,Automatic,8491,Diesel,145,40.9,2.0,Mercedes
1719, V Class,2019,20000,Manual,23580,Diesel,145,46.3,2.1,Mercedes
1720, A Class,2017,15490,Manual,40014,Diesel,30,62.8,2.1,Mercedes
1722, A Class,2019,24451,Automatic,12001,Diesel,145,65.7,1.5,Mercedes
1723, C Class,2019,28980,Automatic,8501,Diesel,145,61.4,2.0,Mercedes
1724, A Class,2020,24260,Semi-Auto,5501,Diesel,145,56.5,2.0,Mercedes
1725, C Class,2020,28220,Semi-Auto,4501,Diesel,145,54.3,1.6,Mercedes
1726, B Class,2020,20350,Manual,1501,Petrol,145,45.6,1.3,Mercedes
1727, GLE Class,2017,41391,Semi-Auto,30256,Petrol,325,31.7,3.0,Mercedes
1728, E Class,2017,28012,Semi-Auto,11340,Petrol,145,40.4,2.0,Mercedes
1729, A Class,2020,25961,Manual,871,Petrol,145,44.8,1.3,Mercedes
1730, GLC Class,2018,28482,Semi-Auto,17004,Petrol,145,43.5,2.0,Mercedes
1731, C Class,2019,49280,Automatic,962,Petrol,145,28.5,4.0,Mercedes
1732, C Class,2019,28810,Automatic,2695,Diesel,145,55.4,2.0,Mercedes
1733, CLS Class,2019,35980,Automatic,6273,Diesel,145,48.7,2.9,Mercedes
1734, C Class,2019,30000,Automatic,7311,Petrol,145,44.1,2.0,Mercedes
1735, B Class,2019,23540,Semi-Auto,6452,Diesel,145,55.4,2.0,Mercedes
1736, A Class,2019,26480,Automatic,2856,Petrol,145,47.9,1.3,Mercedes
1737, GLE Class,2017,27498,Semi-Auto,32662,Diesel,145,42.8,3.0,Mercedes
1738, A Class,2016,34981,Semi-Auto,13912,Petrol,240,40.9,2.0,Mercedes
1739, CL Class,2017,16567,Semi-Auto,37093,Diesel,20,70.6,2.1,Mercedes
1740, GLC Class,2018,28172,Semi-Auto,10149,Diesel,145,56.5,2.1,Mercedes
1741, GLC Class,2017,24481,Semi-Auto,45106,Diesel,125,56.5,2.1,Mercedes
1742, C Class,2017,14702,Manual,52207,Petrol,145,53.3,2.0,Mercedes
1743, E Class,2019,25905,Semi-Auto,7695,Diesel,145,67.3,2.0,Mercedes
1744, GLA Class,2017,19932,Semi-Auto,29155,Diesel,125,56.5,2.1,Mercedes
1745, GLC Class,2019,37045,Semi-Auto,1509,Diesel,145,44.8,2.0,Mercedes
1746, GLA Class,2016,15382,Manual,41776,Diesel,20,67.3,2.1,Mercedes
1747, E Class,2019,44970,Automatic,103,Petrol,145,32.1,3.0,Mercedes
1748, V Class,2019,47990,Automatic,2326,Diesel,145,45.6,2.2,Mercedes
1749, GLA Class,2016,20563,Automatic,34190,Petrol,200,43.5,2.0,Mercedes
1750, GLA Class,2016,15541,Manual,42590,Diesel,30,64.2,2.1,Mercedes
1751, E Class,2018,23102,Semi-Auto,25319,Diesel,145,61.4,2.0,Mercedes
1752, GLA Class,2016,18431,Semi-Auto,24500,Diesel,30,64.2,2.1,Mercedes
1753, C Class,2015,17901,Semi-Auto,9601,Petrol,125,52.3,2.0,Mercedes
1754, C Class,2017,19971,Semi-Auto,28735,Diesel,145,58.9,2.1,Mercedes
1755, B Class,2018,17871,Manual,4207,Petrol,145,49.6,1.6,Mercedes
1756, C Class,2018,26281,Semi-Auto,10997,Diesel,145,67.3,2.1,Mercedes
1757, A Class,2017,15790,Manual,26993,Diesel,20,68.9,1.5,Mercedes
1758, V Class,2019,17699,Manual,20578,Diesel,145,46.3,2.1,Mercedes
1759, C Class,2014,14795,Automatic,20417,Petrol,125,52.3,2.0,Mercedes
1760, C Class,2018,19840,Automatic,14467,Diesel,145,61.4,2.1,Mercedes
1761, C Class,2014,13791,Semi-Auto,53144,Diesel,20,64.2,2.1,Mercedes
1762, A Class,2014,11040,Semi-Auto,31905,Diesel,20,70.6,1.5,Mercedes
1763, C Class,2017,24360,Semi-Auto,14346,Diesel,145,65.7,2.1,Mercedes
1764, GLA Class,2017,17990,Manual,27325,Petrol,145,48.7,1.6,Mercedes
1765, A Class,2017,16495,Semi-Auto,29062,Diesel,145,74.3,1.5,Mercedes
1766, E Class,2013,12230,Automatic,77492,Diesel,160,51.4,2.1,Mercedes
1767, C Class,2019,28332,Automatic,7866,Diesel,145,56.5,2.0,Mercedes
1768, GLC Class,2017,27892,Semi-Auto,34121,Diesel,145,56.5,2.1,Mercedes
1769, E Class,2017,22332,Automatic,20830,Diesel,145,61.4,2.0,Mercedes
1770, C Class,2016,17992,Semi-Auto,14160,Diesel,20,64.2,2.1,Mercedes
1771, E Class,2017,20472,Automatic,32183,Diesel,145,72.4,2.0,Mercedes
1772, A Class,2017,15012,Manual,34099,Petrol,125,51.4,1.6,Mercedes
1773, A Class,2019,22276,Automatic,3477,Diesel,145,67.3,1.5,Mercedes
1774, E Class,2019,37980,Automatic,2138,Diesel,145,53.3,2.0,Mercedes
1775, GLC Class,2019,38570,Automatic,4187,Diesel,145,40.9,2.0,Mercedes
1776, B Class,2016,14152,Manual,18245,Diesel,20,68.9,1.5,Mercedes
1777, E Class,2017,18990,Automatic,23800,Diesel,20,72.4,2.0,Mercedes
1778, CL Class,2014,16990,Automatic,45000,Petrol,200,42.8,2.0,Mercedes
1779, A Class,2014,12750,Automatic,37700,Petrol,125,52.3,1.6,Mercedes
1780, GLC Class,2015,22795,Semi-Auto,27853,Diesel,125,56.5,2.1,Mercedes
1781, CL Class,2017,20895,Manual,21000,Petrol,200,42.2,2.0,Mercedes
1782, A Class,2018,15732,Automatic,19281,Diesel,145,74.3,1.5,Mercedes
1783, C Class,2016,18833,Automatic,17593,Diesel,30,64.2,2.1,Mercedes
1784, E Class,2018,28306,Automatic,10656,Diesel,145,70.6,2.0,Mercedes
1785, C Class,2017,19502,Semi-Auto,37293,Petrol,145,49.6,2.0,Mercedes
1786, A Class,2019,22306,Automatic,9722,Diesel,145,67.3,1.5,Mercedes
1787, B Class,2017,13600,Automatic,24549,Diesel,20,68.9,1.5,Mercedes
1788, C Class,2016,14700,Automatic,59023,Diesel,30,64.2,1.6,Mercedes
1789, C Class,2016,13200,Manual,52684,Diesel,30,65.7,1.6,Mercedes
1790, C Class,2014,13100,Semi-Auto,78845,Diesel,30,64.2,2.1,Mercedes
1791, A Class,2015,10914,Manual,61659,Diesel,30,64.2,2.1,Mercedes
1792, C Class,2013,10404,Semi-Auto,42477,Petrol,160,46.3,1.6,Mercedes
1793, A Class,2013,8500,Manual,69031,Petrol,125,51.4,1.6,Mercedes
1794, GLC Class,2017,24180,Semi-Auto,10139,Diesel,125,56.5,2.1,Mercedes
1795, A Class,2016,10691,Manual,65631,Diesel,20,72.4,1.5,Mercedes
1796, V Class,2018,19998,Manual,11726,Diesel,145,46.3,2.1,Mercedes
1797, A Class,2016,15790,Manual,20565,Diesel,30,62.8,2.1,Mercedes
1798, E Class,2016,15310,Automatic,41759,Diesel,125,58.9,2.1,Mercedes
1799, A Class,2014,9742,Manual,53120,Diesel,20,72.4,1.5,Mercedes
1800, A Class,2016,16820,Semi-Auto,27227,Diesel,20,68.9,2.1,Mercedes
1801, C Class,2016,17950,Automatic,20005,Diesel,30,64.2,2.1,Mercedes
1802, X-CLASS,2018,37493,Automatic,8043,Diesel,260,31.4,3.0,Mercedes
1803, V Class,2019,20750,Automatic,18625,Diesel,145,48.7,2.1,Mercedes
1804, V Class,2019,18450,Manual,16989,Diesel,145,46.3,2.1,Mercedes
1805, E Class,2013,10880,Automatic,56230,Diesel,145,57.7,2.1,Mercedes
1806, C Class,2017,15267,Manual,25820,Petrol,125,53.3,2.0,Mercedes
1807, C Class,2016,18340,Manual,43650,Diesel,30,65.7,2.1,Mercedes
1808, GLA Class,2018,21240,Semi-Auto,14461,Diesel,150,56.5,2.1,Mercedes
1809, C Class,2017,20340,Semi-Auto,34611,Diesel,30,64.2,2.1,Mercedes
1811, E Class,2015,13547,Automatic,40925,Diesel,125,57.7,2.1,Mercedes
1812, C Class,2016,14933,Manual,21553,Diesel,20,70.6,1.6,Mercedes
1813, C Class,2015,13917,Automatic,43097,Petrol,125,52.3,2.0,Mercedes
1814, A Class,2014,10490,Manual,38124,Diesel,20,72.4,1.5,Mercedes
1815, GLC Class,2016,24240,Semi-Auto,21258,Diesel,125,56.5,2.1,Mercedes
1816, C Class,2017,19980,Semi-Auto,38515,Diesel,30,64.2,2.1,Mercedes
1817, A Class,2015,11710,Manual,22171,Petrol,125,51.4,1.6,Mercedes
1818, C Class,2018,22640,Semi-Auto,15867,Petrol,145,47.1,2.0,Mercedes
1819, C Class,2017,19891,Semi-Auto,77706,Diesel,20,67.3,2.1,Mercedes
1820, A Class,2018,19891,Semi-Auto,25677,Petrol,150,53.3,1.3,Mercedes
1821, GLA Class,2019,21699,Semi-Auto,8845,Diesel,145,67.3,2.1,Mercedes
1822, A Class,2017,18898,Semi-Auto,11388,Diesel,20,67.3,2.1,Mercedes
1823, GLC Class,2016,25498,Semi-Auto,14301,Diesel,125,56.5,2.1,Mercedes
1824, GLA Class,2016,15480,Semi-Auto,33283,Diesel,20,67.3,2.1,Mercedes
1825, B Class,2013,12500,Semi-Auto,42050,Diesel,30,61.4,2.1,Mercedes
1826, C Class,2015,15990,Automatic,26400,Petrol,125,52.3,2.0,Mercedes
1827, V Class,2018,18998,Manual,28702,Diesel,145,46.3,2.1,Mercedes
1828, C Class,2017,24998,Semi-Auto,15754,Diesel,145,67.3,2.1,Mercedes
1829, C Class,2017,20498,Semi-Auto,5630,Diesel,145,64.2,1.6,Mercedes
1830, C Class,2013,11298,Semi-Auto,37964,Petrol,165,44.8,1.6,Mercedes
1831, A Class,2013,8498,Manual,75006,Diesel,20,72.4,1.5,Mercedes
1832, C Class,2017,16500,Semi-Auto,14077,Diesel,145,64.2,2.1,Mercedes
1833, GLA Class,2015,14992,Semi-Auto,40251,Diesel,20,62.8,2.1,Mercedes
1834, GLA Class,2014,15790,Semi-Auto,60101,Diesel,145,55.4,2.1,Mercedes
1835, A Class,2017,16045,Manual,17301,Diesel,145,62.8,2.1,Mercedes
1836, GLA Class,2016,14830,Automatic,52675,Diesel,30,64.2,2.1,Mercedes
1837, GLA Class,2016,15640,Automatic,42367,Diesel,20,64.2,2.1,Mercedes
1838, A Class,2017,16980,Automatic,21430,Petrol,145,52.3,1.6,Mercedes
1839, A Class,2018,19950,Automatic,89,Diesel,145,65.7,1.5,Mercedes
1841, A Class,2018,19950,Automatic,4997,Diesel,145,65.7,1.5,Mercedes
1842, A Class,2016,17770,Automatic,19219,Diesel,20,67.3,2.1,Mercedes
1843, B Class,2020,19890,Manual,2001,Petrol,145,45.6,1.3,Mercedes
1844, C Class,2018,21430,Semi-Auto,7011,Diesel,145,64.2,1.6,Mercedes
1845, E Class,2018,22240,Semi-Auto,14236,Diesel,145,72.4,2.0,Mercedes
1846, C Class,2018,24810,Semi-Auto,20496,Diesel,145,67.3,2.1,Mercedes
1847, CL Class,2017,17420,Manual,31886,Diesel,145,67.3,2.1,Mercedes
1848, GLC Class,2019,33160,Semi-Auto,2022,Diesel,145,44.8,2.0,Mercedes
1849, GLC Class,2017,28240,Semi-Auto,23248,Diesel,145,56.5,2.1,Mercedes
1850, A Class,2016,16780,Manual,15466,Petrol,145,49.6,1.6,Mercedes
1851, A Class,2016,11970,Semi-Auto,65164,Diesel,20,74.3,1.5,Mercedes
1852, GLA Class,2016,16350,Semi-Auto,24955,Diesel,20,64.2,2.1,Mercedes
1853, A Class,2018,17320,Semi-Auto,18821,Diesel,145,74.3,1.5,Mercedes
1854, C Class,2019,26550,Automatic,4001,Diesel,145,64.2,2.0,Mercedes
1855, GLA Class,2016,16590,Automatic,16908,Diesel,20,64.2,2.1,Mercedes
1856, GLE Class,2017,26620,Semi-Auto,48551,Diesel,145,47.9,2.1,Mercedes
1857, A Class,2018,19860,Semi-Auto,11149,Diesel,145,65.7,1.5,Mercedes
1858, A Class,2013,9770,Semi-Auto,66484,Petrol,145,50.4,1.6,Mercedes
1859, A Class,2019,20150,Automatic,12763,Petrol,145,53.3,1.3,Mercedes
1860, GL Class,2016,29090,Semi-Auto,64025,Diesel,325,36.2,3.0,Mercedes
1861, GLE Class,2018,44150,Semi-Auto,10763,Diesel,145,36.7,3.0,Mercedes
1862, C Class,2015,16260,Semi-Auto,18025,Diesel,20,64.2,2.1,Mercedes
1863, M Class,2014,19420,Semi-Auto,42218,Diesel,200,46.3,2.1,Mercedes
1864, C Class,2015,15480,Manual,35223,Diesel,20,68.9,2.1,Mercedes
1865, GLA Class,2015,15640,Semi-Auto,47370,Diesel,125,55.4,2.1,Mercedes
1866, A Class,2019,31980,Semi-Auto,6512,Petrol,145,35.3,2.0,Mercedes
1867, E Class,2015,14980,Automatic,48769,Diesel,125,56.5,2.1,Mercedes
1868, GLC Class,2018,28860,Semi-Auto,7158,Petrol,145,43.5,2.0,Mercedes
1869, A Class,2018,18640,Semi-Auto,12801,Diesel,145,65.7,1.5,Mercedes
1870, A Class,2018,18560,Semi-Auto,14378,Diesel,145,65.7,1.5,Mercedes
1871, A Class,2018,18920,Semi-Auto,9171,Diesel,145,65.7,1.5,Mercedes
1872, GLA Class,2014,17840,Semi-Auto,30648,Petrol,200,42.8,2.0,Mercedes
1873, A Class,2018,18870,Semi-Auto,8459,Diesel,145,65.7,1.5,Mercedes
1874, CL Class,2017,15970,Manual,27334,Diesel,20,67.3,2.1,Mercedes
1875, A Class,2017,17360,Semi-Auto,16005,Diesel,20,68.9,2.1,Mercedes
1876, B Class,2016,14980,Semi-Auto,12697,Diesel,20,68.9,2.1,Mercedes
1877, A Class,2014,20860,Automatic,31033,Petrol,200,40.9,2.0,Mercedes
1878, GLA Class,2017,15090,Manual,32484,Diesel,20,67.3,2.1,Mercedes
1879, E Class,2017,19260,Automatic,26233,Diesel,20,72.4,2.0,Mercedes
1880, CL Class,2018,28220,Semi-Auto,27034,Petrol,145,40.9,2.0,Mercedes
1881, A Class,2019,21660,Semi-Auto,15228,Diesel,145,67.3,1.5,Mercedes
1882, GLA Class,2019,21490,Automatic,13545,Diesel,145,67.3,2.1,Mercedes
1883, A Class,2019,19720,Manual,14780,Petrol,145,28.5,1.3,Mercedes
1884, A Class,2019,20270,Semi-Auto,7289,Petrol,145,53.3,1.3,Mercedes
1885, A Class,2019,20640,Automatic,10208,Petrol,145,53.3,1.3,Mercedes
1886, A Class,2019,23490,Manual,300,Petrol,145,47.1,1.3,Mercedes
1887, A Class,2016,17490,Semi-Auto,19879,Petrol,125,52.3,1.6,Mercedes
1888, SL CLASS,2017,18990,Automatic,21490,Diesel,145,70.6,2.1,Mercedes
1889, CL Class,2019,29990,Automatic,3800,Petrol,145,39.8,2.0,Mercedes
1890, GLA Class,2016,19860,Semi-Auto,22064,Diesel,125,56.5,2.1,Mercedes
1891, B Class,2018,17760,Semi-Auto,12370,Diesel,150,68.9,2.1,Mercedes
1892, CL Class,2016,19760,Semi-Auto,20482,Diesel,20,67.3,2.1,Mercedes
1893, A Class,2019,27990,Semi-Auto,3500,Diesel,145,56.5,2.0,Mercedes
1894, A Class,2019,25490,Automatic,1700,Diesel,145,56.5,2.0,Mercedes
1895, GLE Class,2019,51990,Semi-Auto,2800,Diesel,145,32.8,3.0,Mercedes
1896, GLA Class,2017,19990,Automatic,20907,Diesel,145,56.5,2.1,Mercedes
1897, GLA Class,2016,19490,Automatic,17910,Diesel,125,56.5,2.1,Mercedes
1898, A Class,2019,20990,Semi-Auto,2900,Petrol,145,53.3,1.3,Mercedes
1899, M Class,2015,18490,Semi-Auto,49283,Diesel,200,45.6,2.1,Mercedes
1900, CL Class,2015,13870,Manual,60558,Petrol,125,50.4,1.6,Mercedes
1901, GLE Class,2016,29570,Automatic,41199,Petrol,300,32.8,3.0,Mercedes
1902, M Class,2015,20460,Automatic,43108,Diesel,200,39.2,2.1,Mercedes
1903, A Class,2016,16120,Manual,22125,Diesel,20,68.9,1.5,Mercedes
1904, CL Class,2017,20410,Semi-Auto,13895,Diesel,145,58.9,2.1,Mercedes
1905, GLE Class,2016,27260,Semi-Auto,33177,Diesel,200,47.9,2.1,Mercedes
1906, E Class,2015,15360,Semi-Auto,58248,Diesel,125,56.5,2.1,Mercedes
1907, E Class,2020,59995,Semi-Auto,250,Petrol,145,32.1,3.0,Mercedes
1908, C Class,2020,69995,Semi-Auto,250,Petrol,145,28.0,4.0,Mercedes
1909, CL Class,2020,28995,Semi-Auto,4500,Petrol,145,44.8,1.3,Mercedes
1910, C Class,2020,31995,Semi-Auto,5000,Diesel,145,58.9,1.6,Mercedes
1911, E Class,2017,31995,Semi-Auto,26869,Diesel,145,41.5,3.0,Mercedes
1912, S Class,2018,79995,Semi-Auto,6623,Petrol,150,34.0,4.0,Mercedes
1913, C Class,2019,38995,Semi-Auto,12357,Petrol,150,29.7,3.0,Mercedes
1914, A Class,2017,19495,Semi-Auto,23645,Petrol,125,52.3,1.6,Mercedes
1915, A Class,2019,24495,Semi-Auto,10783,Petrol,150,53.3,1.3,Mercedes
1916, GLC Class,2019,33480,Semi-Auto,2552,Diesel,145,44.8,2.0,Mercedes
1917, B Class,2019,20490,Manual,4001,Petrol,145,45.6,1.3,Mercedes
1918, A Class,2017,12920,Manual,41258,Diesel,20,72.4,1.5,Mercedes
1919, C Class,2018,22480,Semi-Auto,10339,Diesel,145,58.9,2.1,Mercedes
1920, C Class,2016,17228,Semi-Auto,60677,Diesel,30,64.2,2.1,Mercedes
1921, GLC Class,2017,27980,Semi-Auto,27002,Diesel,150,56.5,2.1,Mercedes
1922, A Class,2019,19980,Manual,11249,Petrol,150,28.5,1.3,Mercedes
1923, C Class,2017,18340,Semi-Auto,38609,Diesel,30,64.2,2.1,Mercedes
1924, GLC Class,2019,33140,Semi-Auto,3320,Diesel,150,44.8,2.0,Mercedes
1925, GLC Class,2019,29240,Semi-Auto,12975,Diesel,150,56.5,2.1,Mercedes
1926, CLS Class,2017,28995,Semi-Auto,8591,Petrol,150,39.2,3.5,Mercedes
1927, GLE Class,2019,57995,Semi-Auto,3500,Diesel,145,32.5,3.0,Mercedes
1928, A Class,2017,17995,Semi-Auto,26647,Diesel,145,67.3,2.1,Mercedes
1929, SL CLASS,2019,32995,Semi-Auto,10368,Petrol,145,36.2,3.0,Mercedes
1930, C Class,2016,26495,Semi-Auto,22456,Petrol,260,35.8,3.0,Mercedes
1931, C Class,2020,39995,Semi-Auto,5000,Petrol,145,44.1,1.5,Mercedes
1932, GLB Class,2020,35995,Semi-Auto,4500,Diesel,145,47.9,2.0,Mercedes
1933, C Class,2020,37995,Semi-Auto,5000,Petrol,145,46.3,1.5,Mercedes
1934, GLC Class,2020,43995,Semi-Auto,4500,Diesel,145,40.4,2.0,Mercedes
1935, E Class,2020,65995,Semi-Auto,200,Petrol,145,31.7,3.0,Mercedes
1936, C Class,2015,10397,Manual,79881,Diesel,20,65.7,2.1,Mercedes
1937, B Class,2014,9890,Automatic,41039,Diesel,30,64.2,1.5,Mercedes
1938, A Class,2014,10610,Automatic,41174,Petrol,125,52.3,1.6,Mercedes
1939, C Class,2015,10610,Manual,83047,Diesel,20,70.6,1.6,Mercedes
1940, GLC Class,2020,44995,Semi-Auto,6000,Diesel,145,40.4,2.0,Mercedes
1941, C Class,2019,23995,Semi-Auto,15280,Petrol,145,44.1,1.5,Mercedes
1942, C Class,2019,25495,Semi-Auto,631,Diesel,145,60.1,2.1,Mercedes
1943, SL CLASS,2019,31495,Semi-Auto,8048,Petrol,145,47.1,2.0,Mercedes
1944, C Class,2019,25995,Semi-Auto,10085,Diesel,145,56.5,2.0,Mercedes
1945, A Class,2019,25495,Semi-Auto,7908,Petrol,145,53.3,1.3,Mercedes
1946, E Class,2019,38995,Semi-Auto,2419,Diesel,145,46.3,3.0,Mercedes
1947, V Class,2019,39995,Semi-Auto,4823,Diesel,145,45.6,2.2,Mercedes
1948, C Class,2019,20495,Semi-Auto,13742,Diesel,145,61.4,2.0,Mercedes
1949, A Class,2018,22495,Semi-Auto,10856,Petrol,145,53.3,1.3,Mercedes
1950, A Class,2020,29995,Semi-Auto,5000,Diesel,145,56.5,2.0,Mercedes
1951, A Class,2020,26995,Manual,5000,Petrol,145,47.1,1.3,Mercedes
1952, A Class,2019,23480,Automatic,5200,Diesel,145,62.8,1.5,Mercedes
1953, A Class,2019,18760,Automatic,16060,Diesel,145,68.9,1.5,Mercedes
1954, E Class,2016,18260,Automatic,37199,Diesel,30,65.7,2.0,Mercedes
1955, C Class,2017,18970,Automatic,19858,Diesel,145,64.2,1.6,Mercedes
1956, GLC Class,2017,25260,Automatic,18391,Diesel,145,56.5,2.1,Mercedes
1957, A Class,2017,17420,Manual,8168,Petrol,145,51.4,1.6,Mercedes
1958, GLA Class,2017,16120,Manual,29480,Diesel,30,64.2,2.1,Mercedes
1959, C Class,2016,21870,Semi-Auto,7576,Diesel,20,67.3,2.1,Mercedes
1960, E Class,2017,19760,Automatic,23811,Diesel,145,61.4,2.0,Mercedes
1961, E Class,2017,18870,Semi-Auto,26057,Diesel,145,72.4,2.0,Mercedes
1962, CL Class,2017,16880,Semi-Auto,46721,Diesel,145,70.6,2.1,Mercedes
1963, A Class,2014,20965,Semi-Auto,23776,Petrol,200,40.9,2.0,Mercedes
1964, C Class,2017,14965,Semi-Auto,40623,Diesel,30,64.2,1.6,Mercedes
1965, E Class,2015,13532,Automatic,71235,Diesel,145,53.3,3.0,Mercedes
1966, A Class,2014,10500,Manual,81000,Diesel,20,72.4,1.5,Mercedes
1967, X-CLASS,2019,31750,Automatic,7000,Diesel,260,35.8,2.3,Mercedes
1968, E Class,2016,22495,Semi-Auto,22436,Diesel,30,61.4,2.0,Mercedes
1969, SL CLASS,2018,49995,Semi-Auto,10767,Petrol,145,31.4,4.7,Mercedes
1970, V Class,2019,37995,Semi-Auto,10593,Diesel,145,45.6,2.2,Mercedes
1971, A Class,2013,21495,Semi-Auto,14700,Petrol,200,40.9,2.0,Mercedes
1972, C Class,2016,17995,Semi-Auto,33000,Diesel,30,61.4,2.1,Mercedes
1973, GLC Class,2016,24495,Automatic,32018,Diesel,125,56.5,2.1,Mercedes
1974, E Class,2016,19995,Semi-Auto,22000,Diesel,20,72.4,2.0,Mercedes
1975, E Class,2019,51995,Semi-Auto,9749,Petrol,145,32.1,3.0,Mercedes
1976, E Class,2019,28871,Semi-Auto,8529,Diesel,150,61.4,2.0,Mercedes
1977, A Class,2017,18961,Semi-Auto,10351,Diesel,150,68.9,2.1,Mercedes
1978, E Class,2019,24995,Semi-Auto,15033,Diesel,150,72.4,2.0,Mercedes
1979, A Class,2019,24995,Semi-Auto,10846,Petrol,150,28.5,2.0,Mercedes
1980, GLA Class,2019,25995,Semi-Auto,511,Petrol,150,48.7,1.6,Mercedes
1981, E Class,2019,27995,Semi-Auto,5594,Diesel,150,58.9,2.0,Mercedes
1982, A Class,2019,25495,Semi-Auto,7196,Petrol,150,53.3,1.3,Mercedes
1983, S Class,2019,109995,Semi-Auto,4688,Petrol,150,31.7,4.0,Mercedes
1984, C Class,2019,39995,Semi-Auto,4604,Petrol,150,29.4,3.0,Mercedes
1985, GLA Class,2019,24995,Semi-Auto,12136,Petrol,150,48.7,1.6,Mercedes
1986, X-CLASS,2018,33000,Automatic,14500,Diesel,260,35.8,2.3,Mercedes
1987, X-CLASS,2018,23000,Automatic,3900,Diesel,260,35.8,2.3,Mercedes
1988, V Class,2018,19000,Manual,29000,Diesel,145,46.3,2.1,Mercedes
1989, V Class,2018,19000,Manual,49000,Diesel,145,46.3,2.1,Mercedes
1990, A Class,2018,18490,Automatic,8245,Diesel,145,65.7,1.5,Mercedes
1991, A Class,2016,16260,Semi-Auto,23216,Diesel,20,74.3,1.5,Mercedes
1992, B Class,2014,10500,Manual,33000,Diesel,125,61.4,1.8,Mercedes
1993, GLA Class,2018,22000,Semi-Auto,14869,Diesel,145,56.5,2.1,Mercedes
1994, GLC Class,2020,37990,Semi-Auto,1610,Diesel,145,40.9,2.0,Mercedes
1995, GLA Class,2017,20472,Semi-Auto,13097,Diesel,125,56.5,2.1,Mercedes
1996, C Class,2016,15952,Automatic,34327,Diesel,20,64.2,2.1,Mercedes
1997, A Class,2017,15122,Manual,15036,Petrol,125,51.4,1.6,Mercedes
1998, C Class,2015,15542,Semi-Auto,49436,Diesel,30,62.8,2.1,Mercedes
1999, A Class,2017,31342,Semi-Auto,9872,Petrol,145,40.9,2.0,Mercedes
2000, E Class,2018,29172,Semi-Auto,7634,Diesel,145,70.6,2.0,Mercedes
2001, E Class,2017,24702,Automatic,17337,Diesel,145,61.4,2.0,Mercedes
2002, GLC Class,2016,14331,Semi-Auto,53818,Diesel,125,56.5,2.1,Mercedes
2003, SL CLASS,2017,21122,Semi-Auto,13573,Petrol,145,47.9,2.0,Mercedes
2004, A Class,2019,20596,Automatic,7655,Petrol,145,53.3,1.3,Mercedes
2005, GLC Class,2017,30971,Semi-Auto,9501,Diesel,145,56.5,2.1,Mercedes
2006, C Class,2017,18372,Semi-Auto,26508,Petrol,145,50.4,2.0,Mercedes
2007, A Class,2018,22022,Semi-Auto,3512,Petrol,145,53.3,1.3,Mercedes
2008, C Class,2015,16592,Semi-Auto,25230,Diesel,20,64.2,2.1,Mercedes
2009, A Class,2019,22702,Semi-Auto,11615,Diesel,145,67.3,1.5,Mercedes
2010, C Class,2018,25882,Automatic,12145,Diesel,145,58.9,2.1,Mercedes
2011, C Class,2019,29046,Automatic,5971,Diesel,145,61.4,2.0,Mercedes
2012, A Class,2019,20096,Automatic,7032,Diesel,145,68.9,1.5,Mercedes
2013, GLC Class,2018,27462,Semi-Auto,15123,Diesel,145,56.5,2.1,Mercedes
2014, C Class,2019,26256,Semi-Auto,14895,Diesel,145,61.4,2.0,Mercedes
2015, GLE Class,2018,31990,Automatic,25908,Diesel,145,37.7,3.0,Mercedes
2016, GLE Class,2018,29490,Automatic,32039,Diesel,145,47.9,2.1,Mercedes
2017, E Class,2018,21490,Semi-Auto,25978,Diesel,145,61.4,2.0,Mercedes
2018, B Class,2019,21690,Semi-Auto,13690,Petrol,145,45.6,1.3,Mercedes
2019, C Class,2016,19490,Semi-Auto,26900,Diesel,30,64.2,2.1,Mercedes
2020, GLA Class,2016,18690,Semi-Auto,30898,Diesel,125,56.6,2.1,Mercedes
2021, GLC Class,2017,26000,Semi-Auto,16895,Diesel,145,56.5,2.1,Mercedes
2022, CL Class,2017,18300,Automatic,39962,Diesel,125,58.9,2.1,Mercedes
2023, C Class,2017,25232,Automatic,15104,Diesel,145,58.9,2.1,Mercedes
2024, E Class,2017,23072,Semi-Auto,16931,Diesel,145,65.7,2.0,Mercedes
2025, SL CLASS,2019,30182,Automatic,3988,Petrol,145,47.1,2.0,Mercedes
2026, CL Class,2019,26176,Semi-Auto,14204,Diesel,145,51.4,2.2,Mercedes
2027, C Class,2018,30022,Automatic,6061,Diesel,145,54.3,2.0,Mercedes
2028, E Class,2016,19502,Semi-Auto,21733,Diesel,20,72.4,2.0,Mercedes
2029, E Class,2017,22482,Automatic,18902,Diesel,145,65.7,2.0,Mercedes
2030, GLC Class,2018,27902,Semi-Auto,13512,Diesel,145,56.5,2.1,Mercedes
2032, C Class,2017,15495,Manual,31070,Petrol,125,51.4,2.0,Mercedes
2033, C Class,2017,30995,Automatic,22191,Petrol,145,34.0,3.0,Mercedes
2034, GLC Class,2016,24495,Semi-Auto,11400,Diesel,125,56.5,2.1,Mercedes
2035, A Class,2019,27495,Semi-Auto,3719,Petrol,145,47.1,1.3,Mercedes
2036, GLC Class,2020,45995,Semi-Auto,6000,Diesel,145,40.4,2.0,Mercedes
